state,bio_age_5_17,bio_age_17_
Andaman & Nicobar Islands,405,1979
Andaman and Nicobar Islands,11401,6913
Andhra Pradesh,2241448,1473144
Arunachal Pradesh,42894,29500
Assam,596624,386098
Bihar,2208141,2689446
Chandigarh,49171,25311
Chhatisgarh,2,3
Chhattisgarh,884553,1764176
Dadra & Nagar Haveli,72,481
Dadra and Nagar Haveli,10791,16444
Dadra and Nagar Haveli and Daman and Diu,753,1779
Daman & Diu,531,1654
Daman and Diu,4215,2548
Delhi,556237,748125
Goa,34244,34153
Gujarat,1460655,1735859
Haryana,693667,941787
Himachal Pradesh,191566,204668
Jammu & Kashmir,114,315
Jammu and Kashmir,420235,370983
Jharkhand,876613,1149684
Karnataka,1244999,1390955
Kerala,647939,961791
Ladakh,2809,2954
Lakshadweep,2226,2594
Madhya Pradesh,3200117,2723654
Maharashtra,3512712,5713427
Manipur,166465,116122
Meghalaya,36531,51095
Mizoram,85531,34798
Nagaland,32561,77032
ODISHA,9,25
Odisha,1198584,1204243
Orissa,12796,49287
Pondicherry,5218,22369
Puducherry,21828,20493
Punjab,700157,1039514
Rajasthan,2066747,1928208
Sikkim,11932,10888
Tamil Nadu,2227252,2470865
Tamilnadu,1,0
Telangana,946497,791157
Tripura,147535,144620
Uttar Pradesh,6207105,3370630
Uttarakhand,424441,340322
Uttaranchal,0,2
WEST BENGAL,8,29
WESTBENGAL,5,7
West  Bengal,6,22
West Bangal,15,39
West Bengal,1040470,1483978
West bengal,5,15
Westbengal,2,17
andhra pradesh,19,22
odisha,0,16
west Bengal,1,0
